START_TASK=6 STOP_TASK=7
============================================================================================================
Arguments =
	approach: freezing
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: True
	freeze_backbone: True
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: resnet50.a1_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 6
	start_epoch: 0
	stop_at_task: 7
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/resnet50.a1_in1k/inat200/freezing/10 already exists!
Loaded acc_taw from: ./results/resnet50.a1_in1k/inat200/freezing/10/acc_taw-5.txt
Loaded acc_tag from: ./results/resnet50.a1_in1k/inat200/freezing/10/acc_tag-5.txt
Loaded forg_taw from: ./results/resnet50.a1_in1k/inat200/freezing/10/forg_taw-5.txt
Loaded forg_tag from: ./results/resnet50.a1_in1k/inat200/freezing/10/forg_tag-5.txt
************************************************************************************************************
Task  6  [epochs 0-90]
************************************************************************************************************
[DEBUG] trainable params -> backbone:0 heads:143430 total:143430
[params] total:23,651,462  trainable:143,430  tensors:173  trainable_tensors:14
| Epoch   1, time= 14.2s | Train: skip eval | Valid: time=  1.7s loss=2.219, TAw acc= 42.8% | * lr=1.0e-02
| Epoch   2, time= 13.2s | Train: skip eval | Valid: time=  1.4s loss=2.138, TAw acc= 56.8% | * lr=1.0e-02
| Epoch   3, time= 13.4s | Train: skip eval | Valid: time=  1.4s loss=2.063, TAw acc= 61.3% | * lr=1.0e-02
| Epoch   4, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=1.994, TAw acc= 63.7% | * lr=1.0e-02
| Epoch   5, time= 13.0s | Train: skip eval | Valid: time=  1.6s loss=1.929, TAw acc= 66.2% | * lr=9.9e-03
| Epoch   6, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=1.869, TAw acc= 66.5% | * lr=9.9e-03
| Epoch   7, time= 16.7s | Train: skip eval | Valid: time=  1.7s loss=1.813, TAw acc= 67.0% | * lr=9.9e-03
| Epoch   8, time= 12.5s | Train: skip eval | Valid: time=  1.6s loss=1.762, TAw acc= 68.0% | * lr=9.8e-03
| Epoch   9, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=1.715, TAw acc= 69.2% | * lr=9.8e-03
| Epoch  10, time= 16.2s | Train: skip eval | Valid: time=  1.4s loss=1.670, TAw acc= 68.8% | * lr=9.7e-03
| Epoch  11, time= 14.5s | Train: skip eval | Valid: time=  1.4s loss=1.629, TAw acc= 70.0% | * lr=9.6e-03
| Epoch  12, time= 13.0s | Train: skip eval | Valid: time=  1.3s loss=1.591, TAw acc= 69.5% | * lr=9.6e-03
| Epoch  13, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=1.556, TAw acc= 69.8% | * lr=9.5e-03
| Epoch  14, time= 14.5s | Train: skip eval | Valid: time=  1.4s loss=1.523, TAw acc= 70.5% | * lr=9.4e-03
| Epoch  15, time= 13.6s | Train: skip eval | Valid: time=  1.4s loss=1.492, TAw acc= 71.8% | * lr=9.3e-03
