START_TASK=9 STOP_TASK=10 START_EPOCH=0 STOP_EPOCH=90
============================================================================================================
Arguments =
	all_outputs: False
	approach: joint
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: False
	freeze_backbone: False
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: resnet50.a1_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 9
	start_epoch: 0
	stop_at_task: 10
	stop_epoch: 90
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/resnet50.a1_in1k/inat200/joint/10 already exists!
Loaded acc_taw from: ./results/resnet50.a1_in1k/inat200/joint/10/acc_taw-8.txt
Loaded acc_tag from: ./results/resnet50.a1_in1k/inat200/joint/10/acc_tag-8.txt
Loaded forg_taw from: ./results/resnet50.a1_in1k/inat200/joint/10/forg_taw-8.txt
Loaded forg_tag from: ./results/resnet50.a1_in1k/inat200/joint/10/forg_tag-8.txt
[joint] Loaded accumulated datasets up to task 8 from ./results/resnet50.a1_in1k/inat200/joint/10/joint_progress
************************************************************************************************************
Task  9  [epochs 0-90]
************************************************************************************************************
[params] total:23,712,932  trainable:23,712,932  tensors:179  trainable_tensors:179
| Epoch   1, time=136.8s | Train: skip eval | Valid: time= 15.3s loss=1.188, TAw acc= 91.5% | * lr=1.0e-02
| Epoch   2, time=138.8s | Train: skip eval | Valid: time= 14.6s loss=1.113, TAw acc= 91.3% | * lr=1.0e-02
| Epoch   3, time=136.7s | Train: skip eval | Valid: time= 14.6s loss=1.037, TAw acc= 91.8% | * lr=1.0e-02
| Epoch   4, time=133.9s | Train: skip eval | Valid: time= 13.6s loss=1.030, TAw acc= 91.8% | * lr=1.0e-02
| Epoch   5, time=133.6s | Train: skip eval | Valid: time= 13.1s loss=0.997, TAw acc= 92.2% | * lr=9.9e-03
| Epoch   6, time=135.0s | Train: skip eval | Valid: time= 12.9s loss=0.991, TAw acc= 91.7% | * lr=9.9e-03
| Epoch   7, time=133.1s | Train: skip eval | Valid: time= 13.4s loss=0.988, TAw acc= 92.0% | * lr=9.9e-03
| Epoch   8, time=136.5s | Train: skip eval | Valid: time= 15.1s loss=0.994, TAw acc= 92.2% | lr=9.8e-03
| Epoch   9, time=137.3s | Train: skip eval | Valid: time= 12.8s loss=0.971, TAw acc= 91.9% | * lr=9.8e-03
| Epoch  10, time=134.0s | Train: skip eval | Valid: time= 12.8s loss=0.967, TAw acc= 92.0% | * lr=9.7e-03
| Epoch  11, time=135.8s | Train: skip eval | Valid: time= 14.2s loss=0.969, TAw acc= 92.1% | lr=9.6e-03
| Epoch  12, time=134.9s | Train: skip eval | Valid: time= 12.9s loss=0.961, TAw acc= 92.2% | * lr=9.6e-03
| Epoch  13, time=131.1s | Train: skip eval | Valid: time= 13.3s loss=0.956, TAw acc= 92.3% | * lr=9.5e-03
| Epoch  14, time=138.8s | Train: skip eval | Valid: time= 12.8s loss=1.006, TAw acc= 91.7% | lr=9.4e-03
| Epoch  15, time=136.9s | Train: skip eval | Valid: time= 12.8s loss=0.952, TAw acc= 92.3% | * lr=9.3e-03
| Epoch  16, time=134.1s | Train: skip eval | Valid: time= 12.9s loss=0.958, TAw acc= 92.2% | lr=9.2e-03
| Epoch  17, time=131.0s | Train: skip eval | Valid: time= 13.8s loss=0.958, TAw acc= 92.2% | lr=9.2e-03
| Epoch  18, time=134.0s | Train: skip eval | Valid: time= 13.1s loss=0.966, TAw acc= 92.3% | lr=9.1e-03
