START_TASK=8 STOP_TASK=9
============================================================================================================
Arguments =
	approach: freezing
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: True
	freeze_backbone: True
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: resnetv2_101x1_bit.goog_in21k
	no_cudnn_deterministic: False
	normalize: in21k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 8
	start_epoch: 0
	stop_at_task: 9
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10 already exists!
Loaded acc_taw from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/acc_taw-7.txt
Loaded acc_tag from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/acc_tag-7.txt
Loaded forg_taw from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/forg_taw-7.txt
Loaded forg_tag from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/forg_tag-7.txt
************************************************************************************************************
Task  8  [epochs 0-90]
************************************************************************************************************
[DEBUG] trainable params -> backbone:0 heads:184410 total:184410
[params] total:42,676,890  trainable:184,410  tensors:322  trainable_tensors:18
| Epoch   1, time= 15.3s | Train: skip eval | Valid: time=  1.5s loss=1.040, TAw acc= 76.5% | * lr=1.0e-02
| Epoch   2, time= 13.1s | Train: skip eval | Valid: time=  1.8s loss=1.269, TAw acc= 77.8% | lr=1.0e-02
| Epoch   3, time= 12.8s | Train: skip eval | Valid: time=  1.5s loss=0.569, TAw acc= 84.2% | * lr=1.0e-02
| Epoch   4, time= 14.1s | Train: skip eval | Valid: time=  1.6s loss=0.586, TAw acc= 85.5% | lr=1.0e-02
| Epoch   5, time= 13.1s | Train: skip eval | Valid: time=  1.4s loss=0.558, TAw acc= 85.5% | * lr=9.9e-03
| Epoch   6, time= 14.7s | Train: skip eval | Valid: time=  1.6s loss=0.500, TAw acc= 85.5% | * lr=9.9e-03
| Epoch   7, time= 13.5s | Train: skip eval | Valid: time=  1.4s loss=0.371, TAw acc= 89.0% | * lr=9.9e-03
| Epoch   8, time= 13.3s | Train: skip eval | Valid: time=  1.8s loss=0.564, TAw acc= 87.0% | lr=9.8e-03
| Epoch   9, time= 13.1s | Train: skip eval | Valid: time=  1.5s loss=0.642, TAw acc= 87.0% | lr=9.8e-03
| Epoch  10, time= 13.7s | Train: skip eval | Valid: time=  1.4s loss=0.533, TAw acc= 85.5% | lr=9.7e-03
| Epoch  11, time= 12.8s | Train: skip eval | Valid: time=  1.6s loss=0.614, TAw acc= 85.0% | lr=9.6e-03
| Epoch  12, time= 13.6s | Train: skip eval | Valid: time=  1.4s loss=0.385, TAw acc= 89.2% | lr=9.6e-03
| Epoch  13, time= 13.6s | Train: skip eval | Valid: time=  1.4s loss=0.438, TAw acc= 88.5% | lr=9.5e-03
| Epoch  14, time= 12.6s | Train: skip eval | Valid: time=  2.0s loss=0.394, TAw acc= 89.0% | lr=9.4e-03
| Epoch  15, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=0.624, TAw acc= 83.0% | lr=9.3e-03
| Epoch  16, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=0.414, TAw acc= 87.5% | lr=9.2e-03
| Epoch  17, time= 15.0s | Train: skip eval | Valid: time=  1.5s loss=0.470, TAw acc= 89.0% | lr=9.2e-03
| Epoch  18, time= 19.9s | Train: skip eval | Valid: time=  2.9s loss=0.509, TAw acc= 87.8% | lr=9.1e-03
| Epoch  19, time= 13.6s | Train: skip eval | Valid: time=  1.4s loss=0.410, TAw acc= 87.8% | lr=9.0e-03
| Epoch  20, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=0.424, TAw acc= 89.0% | lr=8.8e-03
| Epoch  21, time= 13.8s | Train: skip eval | Valid: time=  1.4s loss=0.409, TAw acc= 89.0% | lr=8.7e-03
| Epoch  22, time= 13.4s | Train: skip eval | Valid: time=  1.4s loss=0.375, TAw acc= 90.2% | lr=8.6e-03
| Epoch  23, time= 13.3s | Train: skip eval | Valid: time=  1.4s loss=0.398, TAw acc= 89.2% | lr=8.5e-03
| Epoch  24, time= 13.8s | Train: skip eval | Valid: time=  1.4s loss=0.340, TAw acc= 91.0% | * lr=8.4e-03
| Epoch  25, time= 13.2s | Train: skip eval | Valid: time=  1.4s loss=0.379, TAw acc= 89.2% | lr=8.2e-03
| Epoch  26, time= 14.1s | Train: skip eval | Valid: time=  1.4s loss=0.412, TAw acc= 89.5% | lr=8.1e-03
| Epoch  27, time= 13.0s | Train: skip eval | Valid: time=  2.3s loss=0.445, TAw acc= 88.8% | lr=8.0e-03
| Epoch  28, time= 21.6s | Train: skip eval | Valid: time=  1.5s loss=0.472, TAw acc= 88.5% | lr=7.8e-03
| Epoch  29, time= 15.4s | Train: skip eval | Valid: time=  2.0s loss=0.342, TAw acc= 89.2% | lr=7.7e-03
| Epoch  30, time= 12.9s | Train: skip eval | Valid: time=  1.4s loss=0.365, TAw acc= 88.5% | lr=7.5e-03
| Epoch  31, time= 13.7s | Train: skip eval | Valid: time=  1.4s loss=0.573, TAw acc= 85.5% | lr=7.4e-03
| Epoch  32, time= 13.4s | Train: skip eval | Valid: time=  1.4s loss=0.356, TAw acc= 89.2% | lr=7.2e-03
| Epoch  33, time= 13.7s | Train: skip eval | Valid: time=  1.5s loss=0.443, TAw acc= 89.5% | lr=7.1e-03
| Epoch  34, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.394, TAw acc= 89.8% | lr=6.9e-03
| Epoch  35, time= 13.1s | Train: skip eval | Valid: time=  1.4s loss=0.368, TAw acc= 89.0% | lr=6.7e-03
| Epoch  36, time= 13.3s | Train: skip eval | Valid: time=  1.5s loss=0.368, TAw acc= 89.5% | lr=6.6e-03
| Epoch  37, time= 13.5s | Train: skip eval | Valid: time=  1.5s loss=0.449, TAw acc= 87.8% | lr=6.4e-03
| Epoch  38, time= 13.3s | Train: skip eval | Valid: time=  1.6s loss=0.348, TAw acc= 89.0% | lr=6.2e-03
| Epoch  39, time= 13.3s | Train: skip eval | Valid: time=  1.8s loss=0.477, TAw acc= 89.0% | lr=6.1e-03
