START_TASK=19 STOP_TASK=20
============================================================================================================
Arguments =
	approach: freezing
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: True
	freeze_backbone: True
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: resnetv2_101x1_bit.goog_in21k
	no_cudnn_deterministic: False
	normalize: in21k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 19
	start_epoch: 0
	stop_at_task: 20
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10 already exists!
Loaded acc_taw from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/acc_taw-18.txt
Loaded acc_tag from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/acc_tag-18.txt
Loaded forg_taw from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/forg_taw-18.txt
Loaded forg_tag from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/forg_tag-18.txt
************************************************************************************************************
Task 19  [epochs 0-90]
************************************************************************************************************
[DEBUG] trainable params -> backbone:0 heads:409800 total:409800
[params] total:42,902,280  trainable:409,800  tensors:344  trainable_tensors:40
| Epoch   1, time= 13.9s | Train: skip eval | Valid: time=  1.6s loss=0.626, TAw acc= 81.8% | * lr=1.0e-02
| Epoch   2, time= 13.6s | Train: skip eval | Valid: time=  1.7s loss=0.406, TAw acc= 87.2% | * lr=1.0e-02
| Epoch   3, time= 14.0s | Train: skip eval | Valid: time=  1.5s loss=0.740, TAw acc= 79.8% | lr=1.0e-02
| Epoch   4, time= 14.4s | Train: skip eval | Valid: time=  1.4s loss=0.481, TAw acc= 87.0% | lr=1.0e-02
| Epoch   5, time= 17.7s | Train: skip eval | Valid: time=  1.4s loss=0.336, TAw acc= 90.2% | * lr=9.9e-03
| Epoch   6, time= 15.3s | Train: skip eval | Valid: time=  1.6s loss=0.269, TAw acc= 91.0% | * lr=9.9e-03
| Epoch   7, time= 12.4s | Train: skip eval | Valid: time=  1.4s loss=0.445, TAw acc= 86.0% | lr=9.9e-03
| Epoch   8, time= 12.9s | Train: skip eval | Valid: time=  1.4s loss=0.223, TAw acc= 92.8% | * lr=9.8e-03
| Epoch   9, time= 13.5s | Train: skip eval | Valid: time=  1.4s loss=0.300, TAw acc= 89.8% | lr=9.8e-03
| Epoch  10, time= 12.6s | Train: skip eval | Valid: time=  1.9s loss=0.445, TAw acc= 87.5% | lr=9.7e-03
| Epoch  11, time= 14.6s | Train: skip eval | Valid: time=  1.4s loss=0.624, TAw acc= 83.5% | lr=9.6e-03
| Epoch  12, time= 13.5s | Train: skip eval | Valid: time=  1.7s loss=0.283, TAw acc= 90.8% | lr=9.6e-03
| Epoch  13, time= 12.5s | Train: skip eval | Valid: time=  1.6s loss=0.523, TAw acc= 86.2% | lr=9.5e-03
| Epoch  14, time= 13.2s | Train: skip eval | Valid: time=  1.7s loss=0.447, TAw acc= 88.0% | lr=9.4e-03
| Epoch  15, time= 12.6s | Train: skip eval | Valid: time=  1.4s loss=0.247, TAw acc= 91.8% | lr=9.3e-03
