START_TASK=8 STOP_TASK=9
============================================================================================================
Arguments =
	all_outputs: False
	approach: icarl
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: False
	freeze_backbone: False
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: resnet50.a1_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 8
	start_epoch: 0
	stop_at_task: 9
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
	lamb: 1.0
============================================================================================================
Exemplars arguments =
	exemplar_selection: random
	num_exemplars: 4000
============================================================================================================
WARNING: ./results/resnet50.a1_in1k/inat200/icarl/10 already exists!
Loaded acc_taw from: ./results/resnet50.a1_in1k/inat200/icarl/10/acc_taw-7.txt
Loaded acc_tag from: ./results/resnet50.a1_in1k/inat200/icarl/10/acc_tag-7.txt
Loaded forg_taw from: ./results/resnet50.a1_in1k/inat200/icarl/10/forg_taw-7.txt
Loaded forg_tag from: ./results/resnet50.a1_in1k/inat200/icarl/10/forg_tag-7.txt
Loaded 4000 exemplars from ./results/resnet50.a1_in1k/inat200/icarl/10/task7_exemplars.pth
Loaded 80 exemplar means from ./results/resnet50.a1_in1k/inat200/icarl/10/task7_exemplar_means.pth
************************************************************************************************************
Task  8  [epochs 0-90]
************************************************************************************************************
[params] total:23,692,442  trainable:23,692,442  tensors:177  trainable_tensors:177
| Epoch   1, time= 23.4s | Train: skip eval | Valid: time=  1.7s loss=38.477, TAw acc= 77.0% | * lr=1.0e-02
| Epoch   2, time= 23.1s | Train: skip eval | Valid: time=  1.5s loss=35.962, TAw acc= 77.2% | * lr=1.0e-02
| Epoch   3, time= 20.3s | Train: skip eval | Valid: time=  1.5s loss=35.298, TAw acc= 80.5% | * lr=1.0e-02
| Epoch   4, time= 23.8s | Train: skip eval | Valid: time=  1.5s loss=35.092, TAw acc= 81.5% | * lr=1.0e-02
| Epoch   5, time= 23.8s | Train: skip eval | Valid: time=  1.6s loss=35.079, TAw acc= 83.2% | * lr=9.9e-03
| Epoch   6, time= 22.4s | Train: skip eval | Valid: time=  1.5s loss=34.940, TAw acc= 83.5% | * lr=9.9e-03
| Epoch   7, time= 21.0s | Train: skip eval | Valid: time=  1.5s loss=34.872, TAw acc= 83.8% | * lr=9.9e-03
| Epoch   8, time= 22.2s | Train: skip eval | Valid: time=  1.5s loss=34.824, TAw acc= 84.8% | * lr=9.8e-03
| Epoch   9, time= 23.9s | Train: skip eval | Valid: time=  1.5s loss=34.881, TAw acc= 85.8% | lr=9.8e-03
| Epoch  10, time= 23.6s | Train: skip eval | Valid: time=  1.8s loss=34.804, TAw acc= 86.0% | * lr=9.7e-03
| Epoch  11, time= 22.7s | Train: skip eval | Valid: time=  1.6s loss=34.815, TAw acc= 85.5% | lr=9.6e-03
| Epoch  12, time= 20.5s | Train: skip eval | Valid: time=  1.5s loss=34.830, TAw acc= 85.8% | lr=9.6e-03
| Epoch  13, time= 19.9s | Train: skip eval | Valid: time=  1.5s loss=34.812, TAw acc= 85.8% | lr=9.5e-03
| Epoch  14, time= 21.7s | Train: skip eval | Valid: time=  1.5s loss=34.759, TAw acc= 86.2% | * lr=9.4e-03
| Epoch  15, time= 20.4s | Train: skip eval | Valid: time=  1.5s loss=34.726, TAw acc= 86.0% | * lr=9.3e-03
| Epoch  16, time= 22.4s | Train: skip eval | Valid: time=  1.5s loss=34.817, TAw acc= 86.5% | lr=9.2e-03
