START_TASK=14 STOP_TASK=15
============================================================================================================
Arguments =
	approach: freezing
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: True
	freeze_backbone: True
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: resnetv2_101x1_bit.goog_in21k
	no_cudnn_deterministic: False
	normalize: in21k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 14
	start_epoch: 0
	stop_at_task: 15
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10 already exists!
Loaded acc_taw from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/acc_taw-13.txt
Loaded acc_tag from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/acc_tag-13.txt
Loaded forg_taw from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/forg_taw-13.txt
Loaded forg_tag from: ./results/resnetv2_101x1_bit.goog_in21k/inat200/freezing/10/forg_tag-13.txt
************************************************************************************************************
Task 14  [epochs 0-90]
************************************************************************************************************
[DEBUG] trainable params -> backbone:0 heads:307350 total:307350
[params] total:42,799,830  trainable:307,350  tensors:334  trainable_tensors:30
| Epoch   1, time= 14.0s | Train: skip eval | Valid: time=  1.9s loss=0.432, TAw acc= 89.8% | * lr=1.0e-02
| Epoch   2, time= 12.6s | Train: skip eval | Valid: time=  1.5s loss=0.440, TAw acc= 89.0% | lr=1.0e-02
| Epoch   3, time= 13.0s | Train: skip eval | Valid: time=  1.5s loss=0.322, TAw acc= 90.8% | * lr=1.0e-02
| Epoch   4, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=0.354, TAw acc= 91.0% | lr=1.0e-02
| Epoch   5, time= 17.1s | Train: skip eval | Valid: time=  1.7s loss=0.255, TAw acc= 92.8% | * lr=9.9e-03
| Epoch   6, time= 12.8s | Train: skip eval | Valid: time=  1.7s loss=0.480, TAw acc= 85.5% | lr=9.9e-03
| Epoch   7, time= 13.8s | Train: skip eval | Valid: time=  1.7s loss=0.329, TAw acc= 91.8% | lr=9.9e-03
| Epoch   8, time= 12.2s | Train: skip eval | Valid: time=  1.7s loss=0.235, TAw acc= 92.5% | * lr=9.8e-03
| Epoch   9, time= 13.0s | Train: skip eval | Valid: time=  1.7s loss=0.474, TAw acc= 88.2% | lr=9.8e-03
| Epoch  10, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.265, TAw acc= 93.0% | lr=9.7e-03
| Epoch  11, time= 12.8s | Train: skip eval | Valid: time=  1.7s loss=0.262, TAw acc= 92.8% | lr=9.6e-03
| Epoch  12, time= 12.9s | Train: skip eval | Valid: time=  1.7s loss=0.243, TAw acc= 92.8% | lr=9.6e-03
| Epoch  13, time= 13.8s | Train: skip eval | Valid: time=  1.4s loss=0.196, TAw acc= 94.2% | * lr=9.5e-03
| Epoch  14, time= 14.3s | Train: skip eval | Valid: time=  1.3s loss=0.197, TAw acc= 93.0% | lr=9.4e-03
| Epoch  15, time= 14.6s | Train: skip eval | Valid: time=  1.7s loss=0.371, TAw acc= 90.2% | lr=9.3e-03
| Epoch  16, time= 12.9s | Train: skip eval | Valid: time=  1.3s loss=0.522, TAw acc= 89.2% | lr=9.2e-03
| Epoch  17, time= 13.3s | Train: skip eval | Valid: time=  1.8s loss=0.215, TAw acc= 93.2% | lr=9.2e-03
| Epoch  18, time= 12.4s | Train: skip eval | Valid: time=  1.4s loss=0.246, TAw acc= 92.2% | lr=9.1e-03
| Epoch  19, time= 13.7s | Train: skip eval | Valid: time=  1.9s loss=0.301, TAw acc= 92.2% | lr=9.0e-03
| Epoch  20, time= 12.7s | Train: skip eval | Valid: time=  1.5s loss=0.251, TAw acc= 92.8% | lr=8.8e-03
| Epoch  21, time= 19.8s | Train: skip eval | Valid: time=  2.7s loss=0.211, TAw acc= 93.2% | lr=8.7e-03
| Epoch  22, time= 14.9s | Train: skip eval | Valid: time=  1.7s loss=0.210, TAw acc= 93.0% | lr=8.6e-03
| Epoch  23, time= 17.5s | Train: skip eval | Valid: time=  1.4s loss=0.241, TAw acc= 92.0% | lr=8.5e-03
| Epoch  24, time= 14.4s | Train: skip eval | Valid: time=  1.4s loss=0.193, TAw acc= 93.2% | * lr=8.4e-03
| Epoch  25, time= 12.4s | Train: skip eval | Valid: time=  1.4s loss=0.227, TAw acc= 93.2% | lr=8.2e-03
| Epoch  26, time= 13.9s | Train: skip eval | Valid: time=  1.7s loss=0.237, TAw acc= 94.0% | lr=8.1e-03
| Epoch  27, time= 12.4s | Train: skip eval | Valid: time=  1.4s loss=0.295, TAw acc= 93.0% | lr=8.0e-03
| Epoch  28, time= 12.3s | Train: skip eval | Valid: time=  1.4s loss=0.249, TAw acc= 91.8% | lr=7.8e-03
| Epoch  29, time= 12.9s | Train: skip eval | Valid: time=  1.8s loss=0.226, TAw acc= 93.8% | lr=7.7e-03
| Epoch  30, time= 12.7s | Train: skip eval | Valid: time=  1.4s loss=0.259, TAw acc= 93.2% | lr=7.5e-03
| Epoch  31, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.210, TAw acc= 93.0% | lr=7.4e-03
| Epoch  32, time= 12.6s | Train: skip eval | Valid: time=  1.4s loss=0.538, TAw acc= 88.0% | lr=7.2e-03
| Epoch  33, time= 12.6s | Train: skip eval | Valid: time=  1.4s loss=0.224, TAw acc= 93.8% | lr=7.1e-03
| Epoch  34, time= 12.8s | Train: skip eval | Valid: time=  1.9s loss=0.199, TAw acc= 93.5% | lr=6.9e-03
| Epoch  35, time= 13.1s | Train: skip eval | Valid: time=  1.3s loss=0.227, TAw acc= 93.8% | lr=6.7e-03
| Epoch  36, time= 13.8s | Train: skip eval | Valid: time=  1.4s loss=0.237, TAw acc= 93.0% | lr=6.6e-03
| Epoch  37, time= 12.9s | Train: skip eval | Valid: time=  1.9s loss=0.215, TAw acc= 92.8% | lr=6.4e-03
| Epoch  38, time= 14.3s | Train: skip eval | Valid: time=  1.4s loss=0.258, TAw acc= 93.0% | lr=6.2e-03
| Epoch  39, time= 13.0s | Train: skip eval | Valid: time=  1.4s loss=0.214, TAw acc= 93.5% | lr=6.1e-03
| Epoch  40, time= 13.3s | Train: skip eval | Valid: time=  1.7s loss=0.225, TAw acc= 93.8% | lr=5.9e-03
| Epoch  41, time= 12.7s | Train: skip eval | Valid: time=  1.4s loss=0.190, TAw acc= 93.8% | * lr=5.7e-03
| Epoch  42, time= 13.1s | Train: skip eval | Valid: time=  1.4s loss=0.209, TAw acc= 93.2% | lr=5.6e-03
| Epoch  43, time= 13.1s | Train: skip eval | Valid: time=  1.9s loss=0.215, TAw acc= 92.8% | lr=5.4e-03
| Epoch  44, time= 13.3s | Train: skip eval | Valid: time=  1.4s loss=0.219, TAw acc= 92.8% | lr=5.2e-03
| Epoch  45, time= 12.4s | Train: skip eval | Valid: time=  1.8s loss=0.199, TAw acc= 93.0% | lr=5.1e-03
| Epoch  46, time= 16.1s | Train: skip eval | Valid: time=  1.4s loss=0.221, TAw acc= 93.0% | lr=4.9e-03
| Epoch  47, time= 17.7s | Train: skip eval | Valid: time=  1.4s loss=0.221, TAw acc= 92.8% | lr=4.7e-03
| Epoch  48, time= 13.4s | Train: skip eval | Valid: time=  1.7s loss=0.220, TAw acc= 93.2% | lr=4.5e-03
| Epoch  49, time= 12.7s | Train: skip eval | Valid: time=  1.7s loss=0.214, TAw acc= 93.0% | lr=4.4e-03
| Epoch  50, time= 16.2s | Train: skip eval | Valid: time=  1.5s loss=0.198, TAw acc= 93.2% | lr=4.2e-03
| Epoch  51, time= 13.3s | Train: skip eval | Valid: time=  1.7s loss=0.197, TAw acc= 93.8% | lr=4.0e-03
