START_TASK=7 STOP_TASK=8
============================================================================================================
Arguments =
	approach: freezing
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: True
	freeze_backbone: True
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: vit_small_patch16_224.augreg_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 7
	start_epoch: 0
	stop_at_task: 8
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10 already exists!
Loaded acc_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/acc_taw-6.txt
Loaded acc_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/acc_tag-6.txt
Loaded forg_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/forg_taw-6.txt
Loaded forg_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/forg_tag-6.txt
************************************************************************************************************
Task  7  [epochs 0-90]
************************************************************************************************************
[DEBUG] trainable params -> backbone:0 heads:30800 total:30800
[params] total:21,696,464  trainable:30,800  tensors:166  trainable_tensors:16
| Epoch   1, time= 13.3s | Train: skip eval | Valid: time=  1.8s loss=0.513, TAw acc= 82.8% | * lr=1.0e-02
| Epoch   2, time= 13.2s | Train: skip eval | Valid: time=  1.7s loss=0.435, TAw acc= 84.8% | * lr=1.0e-02
| Epoch   3, time= 13.3s | Train: skip eval | Valid: time=  1.6s loss=0.373, TAw acc= 88.8% | * lr=1.0e-02
| Epoch   4, time= 14.3s | Train: skip eval | Valid: time=  1.4s loss=0.368, TAw acc= 87.5% | * lr=1.0e-02
| Epoch   5, time= 13.5s | Train: skip eval | Valid: time=  1.4s loss=0.348, TAw acc= 88.5% | * lr=9.9e-03
| Epoch   6, time= 13.5s | Train: skip eval | Valid: time=  1.4s loss=0.348, TAw acc= 87.5% | lr=9.9e-03
| Epoch   7, time= 14.0s | Train: skip eval | Valid: time=  1.5s loss=0.330, TAw acc= 88.0% | * lr=9.9e-03
| Epoch   8, time= 14.5s | Train: skip eval | Valid: time=  1.4s loss=0.334, TAw acc= 89.0% | lr=9.8e-03
| Epoch   9, time= 12.6s | Train: skip eval | Valid: time=  1.7s loss=0.331, TAw acc= 89.2% | lr=9.8e-03
| Epoch  10, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.328, TAw acc= 88.5% | * lr=9.7e-03
| Epoch  11, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.328, TAw acc= 89.2% | * lr=9.6e-03
| Epoch  12, time= 13.1s | Train: skip eval | Valid: time=  1.4s loss=0.334, TAw acc= 88.2% | lr=9.6e-03
| Epoch  13, time= 12.9s | Train: skip eval | Valid: time=  1.4s loss=0.325, TAw acc= 88.5% | * lr=9.5e-03
| Epoch  14, time= 13.2s | Train: skip eval | Valid: time=  1.4s loss=0.328, TAw acc= 89.2% | lr=9.4e-03
| Epoch  15, time= 14.6s | Train: skip eval | Valid: time=  1.4s loss=0.322, TAw acc= 89.0% | * lr=9.3e-03
