START_TASK=0 STOP_TASK=1
============================================================================================================
Arguments =
	approach: lucir
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: False
	freeze_backbone: False
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: vit_small_patch16_224.augreg_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 0
	start_epoch: 0
	stop_at_task: 1
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
	K: 2
	dist: 0.5
	lamb: 5.0
	lamb_mr: 1.0
============================================================================================================
Exemplars arguments =
	exemplar_selection: random
	num_exemplars: 4000
============================================================================================================
************************************************************************************************************
Task  0  [epochs 0-90]
************************************************************************************************************
[params] total:21,669,505  trainable:21,669,505  tensors:152  trainable_tensors:152
| Epoch   1, time= 15.2s | Train: skip eval | Valid: time=  1.7s loss=2.253, TAw acc= 33.8% | * lr=1.0e-02
| Epoch   2, time= 14.9s | Train: skip eval | Valid: time=  1.5s loss=2.196, TAw acc= 60.2% | * lr=1.0e-02
| Epoch   3, time= 14.1s | Train: skip eval | Valid: time=  1.6s loss=2.119, TAw acc= 67.8% | * lr=1.0e-02
| Epoch   4, time= 14.2s | Train: skip eval | Valid: time=  1.8s loss=2.013, TAw acc= 71.8% | * lr=1.0e-02
| Epoch   5, time= 14.6s | Train: skip eval | Valid: time=  1.7s loss=1.872, TAw acc= 76.0% | * lr=9.9e-03
| Epoch   6, time= 12.5s | Train: skip eval | Valid: time=  1.7s loss=1.704, TAw acc= 79.0% | * lr=9.9e-03
| Epoch   7, time= 16.3s | Train: skip eval | Valid: time=  1.4s loss=1.520, TAw acc= 81.2% | * lr=9.9e-03
| Epoch   8, time= 13.9s | Train: skip eval | Valid: time=  1.7s loss=1.345, TAw acc= 82.8% | * lr=9.8e-03
| Epoch   9, time= 18.0s | Train: skip eval | Valid: time=  1.4s loss=1.176, TAw acc= 84.5% | * lr=9.8e-03
| Epoch  10, time= 16.6s | Train: skip eval | Valid: time=  1.7s loss=1.041, TAw acc= 84.5% | * lr=9.7e-03
| Epoch  11, time= 15.3s | Train: skip eval | Valid: time=  1.7s loss=0.925, TAw acc= 85.8% | * lr=9.6e-03
| Epoch  12, time= 13.6s | Train: skip eval | Valid: time=  1.7s loss=0.818, TAw acc= 88.5% | * lr=9.6e-03
