START_TASK=13 STOP_TASK=14
============================================================================================================
Arguments =
	approach: lucir
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: False
	freeze_backbone: False
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: vit_small_patch16_224.augreg_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 13
	start_epoch: 0
	stop_at_task: 14
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
	K: 2
	dist: 0.5
	lamb: 5.0
	lamb_mr: 1.0
============================================================================================================
Exemplars arguments =
	exemplar_selection: random
	num_exemplars: 4000
============================================================================================================
WARNING: ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10 already exists!
Loaded acc_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10/acc_taw-12.txt
Loaded acc_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10/acc_tag-12.txt
Loaded forg_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10/forg_taw-12.txt
Loaded forg_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10/forg_tag-12.txt
Restored CosineLinear heads from ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10/task12_cosine_heads.pth
Loaded 4030 exemplars from ./results/vit_small_patch16_224.augreg_in1k/inat200/lucir/10/task12_exemplars.pth
************************************************************************************************************
Task 13  [epochs 0-90]
************************************************************************************************************
[params] total:21,719,425  trainable:21,669,505  tensors:165  trainable_tensors:152
| Epoch   1, time= 30.3s | Train: skip eval | Valid: time=  2.1s loss=2.169, TAw acc= 92.5% | * lr=1.0e-02
| Epoch   2, time= 31.2s | Train: skip eval | Valid: time=  2.2s loss=1.700, TAw acc= 94.5% | * lr=1.0e-02
| Epoch   3, time= 31.3s | Train: skip eval | Valid: time=  2.0s loss=1.898, TAw acc= 92.5% | lr=1.0e-02
| Epoch   4, time= 29.9s | Train: skip eval | Valid: time=  2.1s loss=1.329, TAw acc= 93.5% | * lr=1.0e-02
| Epoch   5, time= 31.6s | Train: skip eval | Valid: time=  2.4s loss=1.500, TAw acc= 94.5% | lr=9.9e-03
| Epoch   6, time= 30.9s | Train: skip eval | Valid: time=  2.0s loss=1.313, TAw acc= 96.2% | * lr=9.9e-03
| Epoch   7, time= 29.1s | Train: skip eval | Valid: time=  2.1s loss=1.179, TAw acc= 94.8% | * lr=9.9e-03
| Epoch   8, time= 28.7s | Train: skip eval | Valid: time=  2.0s loss=1.302, TAw acc= 95.0% | lr=9.8e-03
| Epoch   9, time= 29.3s | Train: skip eval | Valid: time=  2.2s loss=1.144, TAw acc= 94.8% | * lr=9.8e-03
| Epoch  10, time= 29.9s | Train: skip eval | Valid: time=  2.0s loss=1.219, TAw acc= 95.5% | lr=9.7e-03
| Epoch  11, time= 29.0s | Train: skip eval | Valid: time=  2.0s loss=1.383, TAw acc= 95.8% | lr=9.6e-03
| Epoch  12, time= 31.8s | Train: skip eval | Valid: time=  2.2s loss=1.165, TAw acc= 95.8% | lr=9.6e-03
| Epoch  13, time= 32.5s | Train: skip eval | Valid: time=  2.2s loss=1.358, TAw acc= 95.5% | lr=9.5e-03
| Epoch  14, time= 31.8s | Train: skip eval | Valid: time=  2.0s loss=1.579, TAw acc= 94.5% | lr=9.4e-03
| Epoch  15, time= 31.8s | Train: skip eval | Valid: time=  2.2s loss=1.237, TAw acc= 95.2% | lr=9.3e-03
| Epoch  16, time= 32.2s | Train: skip eval | Valid: time=  2.1s loss=1.231, TAw acc= 94.8% | lr=9.2e-03
| Epoch  17, time= 30.2s | Train: skip eval | Valid: time=  2.4s loss=1.195, TAw acc= 94.8% | lr=9.2e-03
| Epoch  18, time= 30.6s | Train: skip eval | Valid: time=  2.0s loss=1.178, TAw acc= 94.5% | lr=9.1e-03
| Epoch  19, time= 29.8s | Train: skip eval | Valid: time=  2.3s loss=1.139, TAw acc= 95.8% | * lr=9.0e-03
| Epoch  20, time= 29.5s | Train: skip eval | Valid: time=  2.3s loss=1.370, TAw acc= 94.5% | lr=8.8e-03
| Epoch  21, time= 33.3s | Train: skip eval | Valid: time=  2.3s loss=1.787, TAw acc= 94.8% | lr=8.7e-03
| Epoch  22, time= 29.2s | Train: skip eval | Valid: time=  2.1s loss=1.437, TAw acc= 94.2% | lr=8.6e-03
| Epoch  23, time= 29.0s | Train: skip eval | Valid: time=  2.1s loss=1.141, TAw acc= 95.2% | lr=8.5e-03
| Epoch  24, time= 31.9s | Train: skip eval | Valid: time=  2.0s loss=1.177, TAw acc= 95.0% | lr=8.4e-03
| Epoch  25, time= 34.2s | Train: skip eval | Valid: time=  2.0s loss=1.116, TAw acc= 95.0% | * lr=8.2e-03
| Epoch  26, time= 29.1s | Train: skip eval | Valid: time=  2.0s loss=1.153, TAw acc= 95.8% | lr=8.1e-03
| Epoch  27, time= 30.1s | Train: skip eval | Valid: time=  2.1s loss=1.178, TAw acc= 95.5% | lr=8.0e-03
| Epoch  28, time= 31.6s | Train: skip eval | Valid: time=  2.0s loss=1.137, TAw acc= 95.2% | lr=7.8e-03
| Epoch  29, time= 29.5s | Train: skip eval | Valid: time=  2.3s loss=1.058, TAw acc= 95.2% | * lr=7.7e-03
| Epoch  30, time= 32.9s | Train: skip eval | Valid: time=  2.4s loss=1.114, TAw acc= 95.0% | lr=7.5e-03
| Epoch  31, time= 30.2s | Train: skip eval | Valid: time=  2.0s loss=1.091, TAw acc= 95.8% | lr=7.4e-03
| Epoch  32, time= 29.9s | Train: skip eval | Valid: time=  2.1s loss=1.095, TAw acc= 95.5% | lr=7.2e-03
| Epoch  33, time= 35.7s | Train: skip eval | Valid: time=  2.0s loss=1.085, TAw acc= 95.5% | lr=7.1e-03
| Epoch  34, time= 29.9s | Train: skip eval | Valid: time=  2.0s loss=1.096, TAw acc= 95.5% | lr=6.9e-03
| Epoch  35, time= 29.5s | Train: skip eval | Valid: time=  2.0s loss=1.106, TAw acc= 96.0% | lr=6.7e-03
| Epoch  36, time= 29.7s | Train: skip eval | Valid: time=  2.5s loss=1.118, TAw acc= 95.0% | lr=6.6e-03
| Epoch  37, time= 29.0s | Train: skip eval | Valid: time=  2.0s loss=1.088, TAw acc= 95.8% | lr=6.4e-03
| Epoch  38, time= 29.5s | Train: skip eval | Valid: time=  2.5s loss=1.051, TAw acc= 95.2% | * lr=6.2e-03
| Epoch  39, time= 33.3s | Train: skip eval | Valid: time=  2.1s loss=1.055, TAw acc= 95.5% | lr=6.1e-03
| Epoch  40, time= 30.0s | Train: skip eval | Valid: time=  2.2s loss=1.059, TAw acc= 95.8% | lr=5.9e-03
| Epoch  41, time= 30.0s | Train: skip eval | Valid: time=  2.0s loss=1.071, TAw acc= 95.5% | lr=5.7e-03
| Epoch  42, time= 29.4s | Train: skip eval | Valid: time=  2.2s loss=1.060, TAw acc= 95.2% | lr=5.6e-03
| Epoch  43, time= 31.3s | Train: skip eval | Valid: time=  2.0s loss=1.082, TAw acc= 95.5% | lr=5.4e-03
| Epoch  44, time= 29.7s | Train: skip eval | Valid: time=  2.0s loss=1.030, TAw acc= 95.5% | * lr=5.2e-03
| Epoch  45, time= 28.7s | Train: skip eval | Valid: time=  2.0s loss=1.054, TAw acc= 95.5% | lr=5.1e-03
| Epoch  46, time= 32.3s | Train: skip eval | Valid: time=  2.0s loss=1.063, TAw acc= 95.8% | lr=4.9e-03
| Epoch  47, time= 32.6s | Train: skip eval | Valid: time=  2.0s loss=1.049, TAw acc= 96.2% | lr=4.7e-03
| Epoch  48, time= 34.2s | Train: skip eval | Valid: time=  2.0s loss=1.130, TAw acc= 95.5% | lr=4.5e-03
| Epoch  49, time= 32.0s | Train: skip eval | Valid: time=  2.0s loss=1.029, TAw acc= 95.8% | * lr=4.4e-03
| Epoch  50, time= 30.3s | Train: skip eval | Valid: time=  2.1s loss=1.054, TAw acc= 95.2% | lr=4.2e-03
| Epoch  51, time= 32.2s | Train: skip eval | Valid: time=  2.1s loss=1.058, TAw acc= 95.2% | lr=4.0e-03
| Epoch  52, time= 28.7s | Train: skip eval | Valid: time=  2.3s loss=1.058, TAw acc= 95.8% | lr=3.9e-03
| Epoch  53, time= 31.4s | Train: skip eval | Valid: time=  2.0s loss=1.032, TAw acc= 95.5% | lr=3.7e-03
| Epoch  54, time= 29.1s | Train: skip eval | Valid: time=  2.1s loss=1.030, TAw acc= 95.2% | lr=3.5e-03
| Epoch  55, time= 31.7s | Train: skip eval | Valid: time=  2.0s loss=1.026, TAw acc= 95.2% | * lr=3.4e-03
| Epoch  56, time= 29.6s | Train: skip eval | Valid: time=  2.1s loss=1.020, TAw acc= 96.0% | * lr=3.2e-03
| Epoch  57, time= 35.4s | Train: skip eval | Valid: time=  2.5s loss=1.021, TAw acc= 95.5% | lr=3.0e-03
| Epoch  58, time= 30.8s | Train: skip eval | Valid: time=  2.1s loss=1.038, TAw acc= 95.8% | lr=2.9e-03
| Epoch  59, time= 29.4s | Train: skip eval | Valid: time=  2.0s loss=1.036, TAw acc= 95.8% | lr=2.7e-03
| Epoch  60, time= 33.2s | Train: skip eval | Valid: time=  2.1s loss=1.023, TAw acc= 95.5% | lr=2.6e-03
