START_TASK=1 STOP_TASK=2
============================================================================================================
Arguments =
	approach: freezing
	batch_size: 64
	classes_first_task: None
	clipping: 10000
	crop: 224
	data_path: ../data/inat200
	dataset: inat200
	eval_on_train: False
	experiment_path: None
	fix_bn: True
	freeze_backbone: True
	gpu: 0
	gpus: [0]
	increment: 10
	last_layer_analysis: False
	log: ['disk']
	lr: 0.01
	lr_factor: None
	lr_min: 0.0001
	lr_patience: None
	lr_scheduler: cosine
	lr_warmup_epochs: 0
	momentum: 0.0
	multi_softmax: False
	nepochs: 90
	network: vit_small_patch16_224.augreg_in1k
	no_cudnn_deterministic: False
	normalize: in1k
	num_workers: 2
	optimizer_name: sgd
	pin_memory: False
	pretrained: True
	resize: 224
	results_path: ./results
	save_models: True
	seed: 0
	start_at_task: 1
	start_epoch: 0
	stop_at_task: 2
	stop_epoch: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0
============================================================================================================
Approach arguments =
============================================================================================================
Exemplars arguments =
============================================================================================================
WARNING: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10 already exists!
Loaded acc_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/acc_taw-0.txt
Loaded acc_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/acc_tag-0.txt
Loaded forg_taw from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/forg_taw-0.txt
Loaded forg_tag from: ./results/vit_small_patch16_224.augreg_in1k/inat200/freezing/10/forg_tag-0.txt
************************************************************************************************************
Task  1  [epochs 0-90]
************************************************************************************************************
[DEBUG] trainable params -> backbone:0 heads:7700 total:7700
[params] total:21,673,364  trainable:7,700  tensors:154  trainable_tensors:4
| Epoch   1, time= 15.4s | Train: skip eval | Valid: time=  1.8s loss=0.643, TAw acc= 78.8% | * lr=1.0e-02
| Epoch   2, time= 13.3s | Train: skip eval | Valid: time=  1.6s loss=0.537, TAw acc= 83.2% | * lr=1.0e-02
| Epoch   3, time= 13.1s | Train: skip eval | Valid: time=  1.4s loss=0.503, TAw acc= 83.8% | * lr=1.0e-02
| Epoch   4, time= 14.1s | Train: skip eval | Valid: time=  1.4s loss=0.478, TAw acc= 84.8% | * lr=1.0e-02
| Epoch   5, time= 15.0s | Train: skip eval | Valid: time=  1.7s loss=0.465, TAw acc= 86.8% | * lr=9.9e-03
| Epoch   6, time= 12.9s | Train: skip eval | Valid: time=  1.3s loss=0.454, TAw acc= 86.5% | * lr=9.9e-03
| Epoch   7, time= 12.8s | Train: skip eval | Valid: time=  1.5s loss=0.435, TAw acc= 86.8% | * lr=9.9e-03
| Epoch   8, time= 12.9s | Train: skip eval | Valid: time=  1.5s loss=0.437, TAw acc= 86.5% | lr=9.8e-03
| Epoch   9, time= 13.3s | Train: skip eval | Valid: time=  1.7s loss=0.436, TAw acc= 87.2% | lr=9.8e-03
| Epoch  10, time= 13.0s | Train: skip eval | Valid: time=  1.7s loss=0.419, TAw acc= 87.0% | * lr=9.7e-03
| Epoch  11, time= 14.4s | Train: skip eval | Valid: time=  1.6s loss=0.413, TAw acc= 87.0% | * lr=9.6e-03
| Epoch  12, time= 16.4s | Train: skip eval | Valid: time=  1.7s loss=0.410, TAw acc= 87.5% | * lr=9.6e-03
| Epoch  13, time= 13.8s | Train: skip eval | Valid: time=  1.5s loss=0.405, TAw acc= 87.0% | * lr=9.5e-03
| Epoch  14, time= 13.3s | Train: skip eval | Valid: time=  1.3s loss=0.404, TAw acc= 88.2% | * lr=9.4e-03
| Epoch  15, time= 12.8s | Train: skip eval | Valid: time=  1.4s loss=0.399, TAw acc= 88.8% | * lr=9.3e-03
| Epoch  16, time= 12.3s | Train: skip eval | Valid: time=  1.4s loss=0.399, TAw acc= 87.2% | * lr=9.2e-03
| Epoch  17, time= 12.1s | Train: skip eval | Valid: time=  1.3s loss=0.394, TAw acc= 87.8% | * lr=9.2e-03
| Epoch  18, time= 12.8s | Train: skip eval | Valid: time=  1.4s loss=0.399, TAw acc= 88.0% | lr=9.1e-03
| Epoch  19, time= 15.3s | Train: skip eval | Valid: time=  1.7s loss=0.389, TAw acc= 87.8% | * lr=9.0e-03
| Epoch  20, time= 15.1s | Train: skip eval | Valid: time=  1.3s loss=0.388, TAw acc= 88.0% | * lr=8.8e-03
| Epoch  21, time= 12.3s | Train: skip eval | Valid: time=  1.3s loss=0.395, TAw acc= 87.8% | lr=8.7e-03
| Epoch  22, time= 12.7s | Train: skip eval | Valid: time=  1.3s loss=0.396, TAw acc= 87.0% | lr=8.6e-03
| Epoch  23, time= 12.7s | Train: skip eval | Valid: time=  1.9s loss=0.398, TAw acc= 87.5% | lr=8.5e-03
| Epoch  24, time= 12.3s | Train: skip eval | Valid: time=  1.3s loss=0.400, TAw acc= 87.8% | lr=8.4e-03
| Epoch  25, time= 16.8s | Train: skip eval | Valid: time=  1.4s loss=0.391, TAw acc= 87.8% | lr=8.2e-03
| Epoch  26, time= 12.3s | Train: skip eval | Valid: time=  1.4s loss=0.390, TAw acc= 88.8% | lr=8.1e-03
| Epoch  27, time= 12.4s | Train: skip eval | Valid: time=  1.3s loss=0.386, TAw acc= 88.2% | * lr=8.0e-03
| Epoch  28, time= 13.0s | Train: skip eval | Valid: time=  1.3s loss=0.396, TAw acc= 88.0% | lr=7.8e-03
| Epoch  29, time= 13.4s | Train: skip eval | Valid: time=  1.3s loss=0.381, TAw acc= 88.5% | * lr=7.7e-03
| Epoch  30, time= 17.2s | Train: skip eval | Valid: time=  1.4s loss=0.391, TAw acc= 88.2% | lr=7.5e-03
| Epoch  31, time= 13.6s | Train: skip eval | Valid: time=  1.4s loss=0.394, TAw acc= 87.8% | lr=7.4e-03
| Epoch  32, time= 12.7s | Train: skip eval | Valid: time=  1.3s loss=0.396, TAw acc= 88.0% | lr=7.2e-03
| Epoch  33, time= 16.4s | Train: skip eval | Valid: time=  1.4s loss=0.390, TAw acc= 87.5% | lr=7.1e-03
| Epoch  34, time= 13.0s | Train: skip eval | Valid: time=  1.3s loss=0.387, TAw acc= 88.2% | lr=6.9e-03
| Epoch  35, time= 12.8s | Train: skip eval | Valid: time=  1.3s loss=0.389, TAw acc= 87.2% | lr=6.7e-03
| Epoch  36, time= 12.4s | Train: skip eval | Valid: time=  1.3s loss=0.388, TAw acc= 87.8% | lr=6.6e-03
| Epoch  37, time= 12.7s | Train: skip eval | Valid: time=  1.3s loss=0.388, TAw acc= 87.5% | lr=6.4e-03
| Epoch  38, time= 12.7s | Train: skip eval | Valid: time=  1.3s loss=0.395, TAw acc= 87.2% | lr=6.2e-03
| Epoch  39, time= 17.8s | Train: skip eval | Valid: time=  1.3s loss=0.395, TAw acc= 87.2% | lr=6.1e-03
| Epoch  40, time= 12.4s | Train: skip eval | Valid: time=  1.3s loss=0.390, TAw acc= 88.0% | lr=5.9e-03
| Epoch  41, time= 12.6s | Train: skip eval | Valid: time=  1.3s loss=0.396, TAw acc= 86.8% | lr=5.7e-03
| Epoch  42, time= 12.1s | Train: skip eval | Valid: time=  1.3s loss=0.389, TAw acc= 88.5% | lr=5.6e-03
| Epoch  43, time= 14.2s | Train: skip eval | Valid: time=  1.3s loss=0.388, TAw acc= 87.8% | lr=5.4e-03
| Epoch  44, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.389, TAw acc= 86.8% | lr=5.2e-03
| Epoch  45, time= 12.7s | Train: skip eval | Valid: time=  1.3s loss=0.394, TAw acc= 87.5% | lr=5.1e-03
| Epoch  46, time= 12.7s | Train: skip eval | Valid: time=  1.6s loss=0.393, TAw acc= 87.5% | lr=4.9e-03
| Epoch  47, time= 12.7s | Train: skip eval | Valid: time=  1.3s loss=0.390, TAw acc= 87.2% | lr=4.7e-03
| Epoch  48, time= 12.5s | Train: skip eval | Valid: time=  1.3s loss=0.389, TAw acc= 87.5% | lr=4.5e-03
| Epoch  49, time= 17.7s | Train: skip eval | Valid: time=  1.4s loss=0.391, TAw acc= 87.2% | lr=4.4e-03
| Epoch  50, time= 13.0s | Train: skip eval | Valid: time=  1.3s loss=0.387, TAw acc= 88.2% | lr=4.2e-03
| Epoch  51, time= 13.1s | Train: skip eval | Valid: time=  1.3s loss=0.389, TAw acc= 86.2% | lr=4.0e-03
| Epoch  52, time= 12.2s | Train: skip eval | Valid: time=  1.3s loss=0.393, TAw acc= 87.8% | lr=3.9e-03
| Epoch  53, time= 12.6s | Train: skip eval | Valid: time=  1.4s loss=0.387, TAw acc= 87.0% | lr=3.7e-03
| Epoch  54, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.391, TAw acc= 87.8% | lr=3.5e-03
| Epoch  55, time= 12.5s | Train: skip eval | Valid: time=  1.3s loss=0.394, TAw acc= 86.8% | lr=3.4e-03
| Epoch  56, time= 12.4s | Train: skip eval | Valid: time=  1.3s loss=0.395, TAw acc= 87.0% | lr=3.2e-03
| Epoch  57, time= 12.4s | Train: skip eval | Valid: time=  1.5s loss=0.393, TAw acc= 87.0% | lr=3.0e-03
| Epoch  58, time= 14.6s | Train: skip eval | Valid: time=  1.3s loss=0.394, TAw acc= 87.0% | lr=2.9e-03
| Epoch  59, time= 12.5s | Train: skip eval | Valid: time=  1.4s loss=0.391, TAw acc= 87.0% | lr=2.7e-03
